# ---------------------------------- Disclaimer -----------------------------------------
# The reservoir data contained in this file are best estimates generated by the Texas    
# Water Development Board(TWDB) using data collected by various data providers as well   
# as by TWDB. For a detailed explaination of the methodology used please visit:          
#                                                                                        
#     http://waterdatafortexas.org/reservoirs/methodology                                
#                                                                                        
# TWDB makes no warranties(including no warranties as to merchantability or fitness)     
# either expressed or implied with respect to the data or its fitness for any specific   
# application.                                                                           
# ---------------------------------------------------------------------------------------
# 
# Definitions:
#     reservoir_storage = actual storage at measured lake elevation
#     dead_pool_capacity = storage at dead pool elevation
#     conservation_capacity = storage at conservation pool elevation - dead pool capacity
#     conservation_storage = reservoir storage - dead pool capacity (note: conservation storage is capped at conservation capacity)
#     percent_full = 100 * conservation storage/conservation capacity
# 
#     for more detailed explanations see http://waterdatafortexas.org/reservoirs/glossary
# 
# Estimated daily average data for Cedar Creek Reservoir
#     generated: 2024-05-20T21:31:50.760011 UTC
#     url: https://waterdatafortexas.org/reservoirs/individual/cedar-creek-30day.csv
# 
# Footnote:
#     The elevation-storage rating curve used to produce the storage
#     hydrograph is made of two segments: (1) the segment up to the
#     conservation pool top (below the red line) is based on measured data,
#     and (2) the segment in the flood pool (above the red line) is an
#     extrapolation from the first segment and shouldn't be relied upon for
#     flood storage information.
# 
# Data from 2024-04-20 00:00:00 to 2024-05-20 21:15:00 is marked as provisional by the USGS.
# 
# Elevation-Area-Capacity rating curve(s) used:
#     https://waterdatafortexas.org/reservoirs/individual/cedar-creek/rating-curve/USGS/1966-01-01
#     https://waterdatafortexas.org/reservoirs/individual/cedar-creek/rating-curve/TWDB/2005-07-01
# 
# Conservation pool elevation(s) used:
#     322.0 feet above NGVD29
# 
# Dead pool elevation(s) used:
#     263.5 feet above NGVD29
# 
# Vertical datum(s) used:
#     NGVD29
# 
# Units:
#     date: YYYY-MM-DD
#     water_level: feet above vertical datum
#     surface_area: acres
#     storages: acre-feet
# 
# 
date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
2024-04-20,322.11,,648389,644686,100.0,644686,99
2024-04-21,322.35,,656305,644686,100.0,644686,99
2024-04-22,322.39,,657630,644686,100.0,644686,99
2024-04-23,322.40,,657961,644686,100.0,644686,99
2024-04-24,322.40,,657961,644686,100.0,644686,99
2024-04-25,322.12,,648718,644686,100.0,644686,99
2024-04-26,322.08,,647405,644686,100.0,644686,99
2024-04-27,322.35,,656305,644686,100.0,644686,99
2024-04-28,322.61,,664954,644686,100.0,644686,99
2024-04-29,322.39,,657630,644686,100.0,644686,99
2024-04-30,322.38,,657298,644686,100.0,644686,99
2024-05-01,322.31,,654980,644686,100.0,644686,99
2024-05-02,322.25,,652999,644686,100.0,644686,99
2024-05-03,322.22,,652009,644686,100.0,644686,99
2024-05-04,322.16,,650033,644686,100.0,644686,99
2024-05-05,322.32,,655311,644686,100.0,644686,99
2024-05-06,322.45,,659622,644686,100.0,644686,99
2024-05-07,322.49,,660952,644686,100.0,644686,99
2024-05-08,322.48,,660619,644686,100.0,644686,99
2024-05-09,322.30,,654649,644686,100.0,644686,99
2024-05-10,322.15,,649704,644686,100.0,644686,99
2024-05-11,322.06,,646750,644686,100.0,644686,99
2024-05-12,322.04,,646095,644686,100.0,644686,99
2024-05-13,322.13,,649046,644686,100.0,644686,99
2024-05-14,322.11,,648389,644686,100.0,644686,99
2024-05-15,322.06,,646750,644686,100.0,644686,99
2024-05-16,322.03,,645767,644686,100.0,644686,99
2024-05-17,322.01,,645112,644686,100.0,644686,99
2024-05-18,322.00,32873.00,644785,644686,100.0,644686,99
2024-05-19,322.01,,645112,644686,100.0,644686,99
2024-05-20,322.01,,645112,644686,100.0,644686,99
